id,paper_id,probiotic_strain,health_condition,correlation_type,correlation_strength,effect_size,sample_size,study_duration,study_type,dosage,population_details,confidence_score,supporting_quote,extraction_model,extraction_timestamp,validation_status,validation_issues,verification_model,verification_timestamp,verification_confidence,human_reviewed,title,publication_date
1,40431448,Multistrain Probiotics,Irritable Bowel Syndrome Without Constipation,positive,0.7,,,,"Double-Blind, Randomized, Placebo-Controlled Trial",,,0.9,The disruption of the intestinal barrier and the imbalance of the gut microbiota (GM) seem to play a major role in the complex pathogenesis of irritable bowel syndrome (IBS),llama-3.3-70b-versatile,2025-08-25 16:37:35,pending,,,,,0,"Multistrain Probiotics Plus Vitamin D Improve Gut Barrier Function and Gut Microbiota Composition in Irritable Bowel Syndrome Without Constipation: Results from a Double-Blind, Randomized, Placebo-Controlled Trial.",2025-May-18
2,40183209,Bifidobacterium Lactobacillus triple viable,Slow Transit Constipation,positive,0.8,,,,unknown,,,0.7,The aim of this study was to explore the therapeutic effects of Bifidobacterium Lactobacillus triple viable on slow transit constipation (STC),llama-3.3-70b-versatile,2025-08-25 16:37:38,pending,,,,,0,Bifidobacterium Lactobacillus Triple Viable Alleviates Slow Transit Constipation by Regulating Gut Microbiota and Metabolism.,2025-Jun
3,37952945,probiotics,chronic constipation,positive,0.5,,,,,,,0.5,Medical therapy includes ... probiotics,llama-3.3-70b-versatile,2025-08-25 16:37:39,pending,,,,,0,Management of Chronic Constipation: A Comprehensive Review.,2025-Jan-01
10,39542020,Lactobacillus rhamnosus GG,functional constipation,neutral,0.5,,,,,,,0.5,"For functional constipation and GERD, a role for probiotics is questionable as evidence of efficacy is either absent or marginal and as existing treatments are effective",llama-3.3-70b-versatile,2025-08-25 16:37:46,pending,,,,,0,The evidence for probiotics in the treatment of digestive disorders in the pediatric population.,2025-Jan
11,39542020,Saccharomyces boulardii,functional constipation,neutral,0.5,,,,,,,0.5,"For functional constipation and GERD, a role for probiotics is questionable as evidence of efficacy is either absent or marginal and as existing treatments are effective",llama-3.3-70b-versatile,2025-08-25 16:37:46,pending,,,,,0,The evidence for probiotics in the treatment of digestive disorders in the pediatric population.,2025-Jan
33,39333245,Lacticaseibacillus rhamnosus IDCC 3201,Irritable Bowel Syndrome with Constipation (IBS-C),positive,0.8,,30.0,8 weeks,RCT,,,0.9,"Concerning bowel activities, both irritant bowel movements and discomfort caused by constipation showed significant improvement with RH 3201 at 8 weeks",llama-3.3-70b-versatile,2025-08-25 16:37:52,pending,,,,,0,"Effect of Lacticaseibacillus rhamnosus IDCC 3201 on irritable bowel syndrome with constipation: a randomized, double-blind, and placebo-controlled trial.",2024-Sep-27
35,39367119,Lacticaseibacillus paracasei DG,Constipation,positive,0.9,,30.0,12 weeks,open label single-arm study,synbiotic product containing Lacticaseibacillus paracasei DG and inulin,,0.8,"Gastroenterological evaluations showed improvements in PAC-SYM score, number of complete bowel movement and BSFS",llama-3.3-70b-versatile,2025-08-25 16:38:01,pending,,,,,0,Synbiotic supplementation may globally improve non-motor symptoms in patients with stable Parkinson's disease: results from an open label single-arm study.,2024-Oct-04
36,39367119,Lacticaseibacillus paracasei DG,Irritable Bowel Syndrome with Constipation,positive,0.8,,30.0,12 weeks,open label single-arm study,synbiotic product containing Lacticaseibacillus paracasei DG and inulin,,0.7,"Gastroenterological evaluations showed improvements in PAC-SYM score, number of complete bowel movement and BSFS",llama-3.3-70b-versatile,2025-08-25 16:38:01,pending,,,,,0,Synbiotic supplementation may globally improve non-motor symptoms in patients with stable Parkinson's disease: results from an open label single-arm study.,2024-Oct-04
37,39389577,Lactobacillus,constipation,positive,0.8,,,4 weeks,"single-blind, randomised, placebo-controlled trial",Lactobacillus powder prepared from 15 probiotic products,,0.9,"Probiotic treatment changed the makeup of the gut microbiota, enhanced the quantity of Bifidobacterium and Lactobacillus, and markedly reduced clinical symptoms",llama-3.3-70b-versatile,2025-08-25 16:38:03,pending,,,,,0,Effects of complex probiotics on intestinal function and its regulatory mechanism in patients with constipation.,2024-Oct-04
38,39389577,Bifidobacterium,constipation,positive,0.7,,,4 weeks,"single-blind, randomised, placebo-controlled trial",Lactobacillus powder prepared from 15 probiotic products,,0.8,The 16S rRNA analysis revealed that the abundance of Bifidobacterium and Prevotella increased,llama-3.3-70b-versatile,2025-08-25 16:38:03,pending,,,,,0,Effects of complex probiotics on intestinal function and its regulatory mechanism in patients with constipation.,2024-Oct-04
39,39389577,Prevotella,constipation,positive,0.6,,,4 weeks,"single-blind, randomised, placebo-controlled trial",Lactobacillus powder prepared from 15 probiotic products,,0.7,The 16S rRNA analysis revealed that the abundance of Bifidobacterium and Prevotella increased,llama-3.3-70b-versatile,2025-08-25 16:38:03,pending,,,,,0,Effects of complex probiotics on intestinal function and its regulatory mechanism in patients with constipation.,2024-Oct-04
40,39389577,Faecalibacterium,constipation,negative,0.5,,,4 weeks,"single-blind, randomised, placebo-controlled trial",Lactobacillus powder prepared from 15 probiotic products,,0.6,"Moreover, there was a decrease in the abundance of Faecalibacterium and Roseburia",llama-3.3-70b-versatile,2025-08-25 16:38:03,pending,,,,,0,Effects of complex probiotics on intestinal function and its regulatory mechanism in patients with constipation.,2024-Oct-04
41,39389577,Roseburia,constipation,negative,0.5,,,4 weeks,"single-blind, randomised, placebo-controlled trial",Lactobacillus powder prepared from 15 probiotic products,,0.6,"Moreover, there was a decrease in the abundance of Faecalibacterium and Roseburia",llama-3.3-70b-versatile,2025-08-25 16:38:03,pending,,,,,0,Effects of complex probiotics on intestinal function and its regulatory mechanism in patients with constipation.,2024-Oct-04
42,39389577,Thickettsia,constipation,negative,0.4,,,4 weeks,"single-blind, randomised, placebo-controlled trial",Lactobacillus powder prepared from 15 probiotic products,,0.5,The 16S rRNA analysis revealed that the abundance of Bifidobacterium and Prevotella increased while that of Thickettsia declined,llama-3.3-70b-versatile,2025-08-25 16:38:03,pending,,,,,0,Effects of complex probiotics on intestinal function and its regulatory mechanism in patients with constipation.,2024-Oct-04
43,39356506,Bifidobacterium lactis HN019,Functional Constipation,positive,0.5,,,Eight-Week,RCT,,,0.8,Probiotic supplementation may improve bowel movements,llama-3.3-70b-versatile,2025-08-25 16:38:08,pending,,,,,0,Eight-Week Supplementation With Bifidobacterium lactis HN019 and Functional Constipation: A Randomized Clinical Trial.,2024-Oct-01
46,39543201,Bifidobacterium,constipation,positive,0.8,,,6- and 12-week periods,RCT,,,0.9,consumption of RS-3 compared to placebo resulted in significant improvements in gut health by dramatically increasing levels of beneficial bacteria,llama-3.3-70b-versatile,2025-08-25 16:38:12,pending,,,,,0,Impact of resistant starch type 3 on fecal microbiota and stool frequency in Thai adults with chronic constipation randomized clinical trial.,2024-Nov-14
47,39543201,Prevotella,constipation,positive,0.8,,,6- and 12-week periods,RCT,,,0.9,consumption of RS-3 compared to placebo resulted in significant improvements in gut health by dramatically increasing levels of beneficial bacteria,llama-3.3-70b-versatile,2025-08-25 16:38:12,pending,,,,,0,Impact of resistant starch type 3 on fecal microbiota and stool frequency in Thai adults with chronic constipation randomized clinical trial.,2024-Nov-14
48,39543201,Akkermansia,constipation,positive,0.8,,,6- and 12-week periods,RCT,,,0.9,consumption of RS-3 compared to placebo resulted in significant improvements in gut health by dramatically increasing levels of beneficial bacteria,llama-3.3-70b-versatile,2025-08-25 16:38:12,pending,,,,,0,Impact of resistant starch type 3 on fecal microbiota and stool frequency in Thai adults with chronic constipation randomized clinical trial.,2024-Nov-14
49,39543201,Megamonas,constipation,positive,0.8,,,6- and 12-week periods,RCT,,,0.9,consumption of RS-3 compared to placebo resulted in significant improvements in gut health by dramatically increasing levels of beneficial bacteria,llama-3.3-70b-versatile,2025-08-25 16:38:12,pending,,,,,0,Impact of resistant starch type 3 on fecal microbiota and stool frequency in Thai adults with chronic constipation randomized clinical trial.,2024-Nov-14
50,39519611,Fermented Gold Kiwi,Constipation,positive,0.8,,,two weeks,RCT,"50, 125, and 250 mg/kg",,0.9,"FGK effectively relieves constipation in both animals and humans, indicating its potential as an effective dietary supplement",llama-3.3-70b-versatile,2025-08-25 16:38:13,pending,,,,,0,Fermented Gold Kiwi Improves Gastrointestinal Motility and Functional Constipation: An Animal Study and Human Randomized Clinical Test.,2024-Nov-03
57,38787732,Galacto-oligosaccharides (GOS),Functional constipation,positive,0.8,,63.0,four weeks,RCT,,,0.9,The number of bowel movements per day and changes in the shape of bowel movements in the treatment group significantly improved compared to those in the control group after four weeks.,llama-3.3-70b-versatile,2025-08-25 16:38:27,pending,,,,,0,Efficacy and safety of galacto-oligosaccharide in the treatment of functional constipation: randomized clinical trial.,2024-Jun-17
58,38740021,Faecalibacillus intestinalis,constipation,positive,0.8,,,,preliminary mouse experiments,,,0.7,alleviating constipation,llama-3.3-70b-versatile,2025-08-25 16:38:33,pending,,,,,0,Gut microbial genomes with paired isolates from China illustrate probiotic and cardiometabolic effects.,2024-Jun-12
65,38653808,Bifidobacterium Lactis (BLa80),Irritable Bowel Syndrome with predominant constipation complaints (IBS-C),positive,0.5,,,4-week,RCT,,,0.8,Fibers with prebiotic properties and probiotic compounds have shown promise in relieving IBS-C-related complaints,llama-3.3-70b-versatile,2025-08-25 16:38:54,pending,,,,,0,Acacia fiber or probiotic supplements to relieve gastrointestinal complaints in patients with constipation-predominant IBS: a 4-week randomized double-blinded placebo-controlled intervention trial.,2024-Aug
66,38369213,Lactobacillus,Constipation-predominant irritable bowel syndrome (IBS-C),positive,0.8,,,,animal study,,,0.7,taVNS restored Lactobacillus abundance,llama-3.3-70b-versatile,2025-08-25 16:38:58,pending,,,,,0,Ameliorating effects of transcutaneous auricular vagus nerve stimulation on a mouse model of constipation-predominant irritable bowel syndrome.,2024-Apr
67,38369213,Bifidobacterium,Constipation-predominant irritable bowel syndrome (IBS-C),positive,0.8,,,,animal study,,,0.7,taVNS increased Bifidobacterium probiotic abundance at the genus level,llama-3.3-70b-versatile,2025-08-25 16:38:58,pending,,,,,0,Ameliorating effects of transcutaneous auricular vagus nerve stimulation on a mouse model of constipation-predominant irritable bowel syndrome.,2024-Apr
72,39213091,Lactobacillus,Constipation,positive,0.7,,,short-term,Double-blind placebo-controlled randomized clinical trials,,,0.8,"demonstrated safety, and efficacy primarily in improving constipation-related symptoms",llama-3.3-70b-versatile,2025-08-25 16:39:15,pending,,,,,0,Advice to People with Parkinson's in My Clinic: Probiotics and Prebiotics.,2024
73,39213091,Bifidobacterium,Constipation,positive,0.7,,,short-term,Double-blind placebo-controlled randomized clinical trials,,,0.8,"demonstrated safety, and efficacy primarily in improving constipation-related symptoms",llama-3.3-70b-versatile,2025-08-25 16:39:15,pending,,,,,0,Advice to People with Parkinson's in My Clinic: Probiotics and Prebiotics.,2024
84,37019193,Lactiplantibacillus plantarum P9,Chronic Constipation,positive,0.8,,163.0,42-day,RCT,1 × 10,,0.9,"We conducted a large-scale 42-day randomized, double-blind, placebo-controlled trial to investigate the effect of probiotics in alleviating CC",llama-3.3-70b-versatile,2025-08-25 16:39:35,pending,,,,,0,"Effect of the probiotic strain, Lactiplantibacillus plantarum P9, on chronic constipation: A randomized, double-blind, placebo-controlled study.",2023-May
85,36216361,Bifidobacterium longum BB536,Chronic Constipation,positive,0.7,,,,RCT,,,0.9,This study evaluated the effects of Bifidobacterium longum BB536 in elderly individuals with chronic constipation.,llama-3.3-70b-versatile,2025-08-25 16:39:41,pending,,,,,0,Usefulness of Bifidobacterium longum BB536 in Elderly Individuals With Chronic Constipation: A Randomized Controlled Trial.,2023-Mar-01
87,37539311,Not specified,constipation,inconclusive,0.0,,,,meta_analysis,,,0.5,Several clinical studies have investigated the beneficial effects of probiotics on cognitive impairment and constipation in elderly,llama-3.3-70b-versatile,2025-08-25 16:39:48,pending,,,,,0,Impact of probiotics on cognition and constipation in the elderly: A meta-analysis.,2023-Jul
93,37992712,Bifidobacterium longum,functional constipation (FC),positive,0.8,,,,"double-blind, randomized, placebo-controlled clinical trial",,,0.9,"supplementation with abfA-cluster-carrying B. longum, but not an abfA-deficient strain, enriched arabinan-utilization residents, increased beneficial metabolites, and improved FC symptoms",llama-3.3-70b-versatile,2025-08-25 16:40:03,pending,,,,,0,A key genetic factor governing arabinan utilization in the gut microbiome alleviates constipation.,2023-Dec-13
96,35559625,probiotics,constipation,neutral,0.0,,,,,,,0.5,Increasing dietary fiber and fluid intake above usual daily recommendations and adding probiotics provide no additional benefits for treating constipation,llama-3.3-70b-versatile,2025-08-25 16:40:32,pending,,,,,0,Constipation in Children and Adolescents: Evaluation and Treatment.,2022-May-01
97,35927504,Multistrain probiotics,Functional constipation,positive,0.5,,,,RCT,,,0.8,This study aimed to evaluate the efficacy and safety of selected multistrain probiotics on functional constipation,llama-3.3-70b-versatile,2025-08-25 16:40:48,pending,,,,,0,The effect of multistrain probiotics on functional constipation in the elderly: a randomized controlled trial.,2022-Dec
101,35350100,Not specified,Constipation,positive,0.5,,,,RCT,,,0.5,"THW in postoperative thyroid cancer patients who need always accompanied by complications (e.g., dyslipidemia and constipation)",llama-3.3-70b-versatile,2025-08-25 16:40:51,pending,,,,,0,Randomized Clinical Trial: Probiotics Alleviated Oral-Gut Microbiota Dysbiosis and Thyroid Hormone Withdrawal-Related Complications in Thyroid Cancer Patients Before Radioiodine Therapy Following Thyroidectomy.,2022
102,34209804,Not specified,constipation,inconclusive,0.0,,,,Not specified,,,0.0,"Probiotics have been shown to benefit patients with constipation and depression, but whether they specifically alleviate constipation in patients with depression remains unclear.",llama-3.3-70b-versatile,2025-08-25 16:40:54,pending,,,,,0,Effects of Fermented Milk Containing ,2021-Jun-29
104,33046607,Not specified,Constipation in Parkinson disease,inconclusive,0.0,,,,RCT,,,0.0,"To determine whether probiotics are effective for constipation, a common and often difficult-to-treat problem, in Parkinson disease (PD)",llama-3.3-70b-versatile,2025-08-25 16:41:05,pending,,,,,0,Probiotics for Constipation in Parkinson Disease: A Randomized Placebo-Controlled Study.,2021-Feb-02
105,32738573,Multispecies probiotic,Intestinal constipation,positive,0.5,,,,RCT,,,0.8,The aim of this study was to evaluate the effect of a multispecies probiotic on gut microbiota composition and constipation symptoms.,llama-3.3-70b-versatile,2025-08-25 16:41:14,pending,,,,,0,"Effect of multispecies probiotic on gut microbiota composition in individuals with intestinal constipation: A double-blind, placebo-controlled randomized trial.",2020-Oct
110,32048977,Bifidobacterium,Constipation,positive,0.7,,,,RCT,,,0.6,"Gut microbiota such as Bifidobacterium, Clostridium, Bacteroidetes, and Lactobacilli have been demonstrated in functional gastrointestinal disorders and prebiotics to play a role in augmenting their presence",llama-3.3-70b-versatile,2025-08-25 16:41:28,pending,,,,,0,Therapeutic Effects of Prebiotics on Constipation: A Schematic Review.,2020
111,32048977,Clostridium,Constipation,positive,0.7,,,,RCT,,,0.6,"Gut microbiota such as Bifidobacterium, Clostridium, Bacteroidetes, and Lactobacilli have been demonstrated in functional gastrointestinal disorders and prebiotics to play a role in augmenting their presence",llama-3.3-70b-versatile,2025-08-25 16:41:28,pending,,,,,0,Therapeutic Effects of Prebiotics on Constipation: A Schematic Review.,2020
112,32048977,Bacteroidetes,Constipation,positive,0.7,,,,RCT,,,0.6,"Gut microbiota such as Bifidobacterium, Clostridium, Bacteroidetes, and Lactobacilli have been demonstrated in functional gastrointestinal disorders and prebiotics to play a role in augmenting their presence",llama-3.3-70b-versatile,2025-08-25 16:41:28,pending,,,,,0,Therapeutic Effects of Prebiotics on Constipation: A Schematic Review.,2020
113,32048977,Lactobacilli,Constipation,positive,0.7,,,,RCT,,,0.6,"Gut microbiota such as Bifidobacterium, Clostridium, Bacteroidetes, and Lactobacilli have been demonstrated in functional gastrointestinal disorders and prebiotics to play a role in augmenting their presence",llama-3.3-70b-versatile,2025-08-25 16:41:28,pending,,,,,0,Therapeutic Effects of Prebiotics on Constipation: A Schematic Review.,2020
118,30625189,Bifidobacterium infantis,Chronic constipation,positive,0.5,,8.0,12 weeks,RCT,,,0.6,Some participants on both treatments saw a reduction in the frequency of certain GI symptoms,llama-3.3-70b-versatile,2025-08-25 16:41:45,pending,,,,,0,Pilot study of probiotic/colostrum supplementation on gut function in children with autism and gastrointestinal symptoms.,2019
120,29227175,Bifidobacterium animalis subsp. lactis HN019,functional constipation,positive,0.8,,,28-day,RCT,1 × 10,,0.9,Bifidobacterium animalis subsp. lactis HN019 (HN019) ameliorates chronic idiopathic constipation,llama-3.3-70b-versatile,2025-08-25 16:41:54,pending,,,,,0,"Effects of 28-day Bifidobacterium animalis subsp. lactis HN019 supplementation on colonic transit time and gastrointestinal symptoms in adults with functional constipation: A double-blind, randomized, placebo-controlled, and dose-ranging trial.",2018
121,28507013,Bifidobacteria,Constipation,negative,0.7,,,,human studies,,,0.6,adults with functional constipation have significantly decreased numbers of bifidobacteria,llama-3.3-70b-versatile,2025-08-25 16:42:02,pending,,,,,0,Mechanisms of Action of Probiotics and the Gastrointestinal Microbiota on Gut Motility and Constipation.,2017-May
122,27543643,Not specified,Constipation associated with Parkinson disease,inconclusive,0.0,,,,RCT,,,0.0,Our objective was to evaluate the efficacy of probiotics and prebiotics in patients with Parkinson disease (PD) and constipation.,llama-3.3-70b-versatile,2025-08-26 17:00:01,pending,,,,,0,Probiotics and prebiotic fiber for constipation associated with Parkinson disease: An RCT.,2016-Sep-20
